Customer ID,Age,Total Spent,Segment
CUST650,55,30.0,Low Value
CUST087,28,100.0,Low Value
CUST285,31,25.0,Low Value
CUST867,21,500.0,Mid Value
CUST903,51,200.0,Mid Value
CUST777,48,150.0,Mid Value
CUST179,31,300.0,Mid Value
CUST307,26,50.0,Low Value
CUST137,46,1000.0,High Value
CUST343,21,50.0,Low Value
CUST482,28,1200.0,High Value
CUST174,39,300.0,Mid Value
CUST296,22,1200.0,High Value
CUST303,19,90.0,Low Value
CUST168,53,300.0,Mid Value
CUST347,42,25.0,Low Value
CUST544,27,25.0,Low Value
CUST240,23,300.0,Mid Value
CUST722,20,900.0,High Value
CUST341,31,200.0,Mid Value
CUST835,37,200.0,Mid Value
CUST809,62,100.0,Low Value
CUST542,20,50.0,Low Value
CUST231,23,150.0,Mid Value
CUST386,54,600.0,Mid Value
CUST167,43,150.0,Mid Value
CUST905,58,300.0,Mid Value
CUST739,36,25.0,Low Value
CUST085,31,150.0,Mid Value
CUST747,23,30.0,Low Value
CUST370,23,60.0,Low Value
CUST828,33,1200.0,High Value
CUST521,47,120.0,Mid Value
CUST556,18,50.0,Low Value
CUST978,53,150.0,Mid Value
CUST811,61,50.0,Low Value
CUST703,34,100.0,Low Value
CUST853,21,1000.0,High Value
CUST360,42,100.0,Low Value
CUST680,53,900.0,High Value
CUST387,44,30.0,Low Value
CUST201,56,25.0,Low Value
CUST200,27,150.0,Mid Value
CUST422,28,90.0,Low Value
CUST260,28,60.0,Low Value
CUST982,46,90.0,Low Value
CUST568,51,300.0,Mid Value
CUST845,54,500.0,Mid Value
CUST490,34,150.0,Mid Value
CUST407,46,900.0,High Value
CUST684,28,1000.0,High Value
CUST359,50,50.0,Low Value
CUST140,38,30.0,Low Value
CUST259,45,200.0,Mid Value
CUST877,58,25.0,Low Value
CUST384,55,500.0,Mid Value
CUST310,28,25.0,Low Value
CUST116,23,30.0,Low Value
CUST479,52,1200.0,High Value
CUST911,42,900.0,High Value
CUST165,60,1200.0,High Value
CUST092,51,120.0,Mid Value
CUST958,62,50.0,Low Value
CUST483,55,30.0,Low Value
CUST779,56,1000.0,High Value
CUST089,55,2000.0,High Value
CUST511,45,100.0,Low Value
CUST944,44,50.0,Low Value
CUST102,47,50.0,Low Value
CUST212,21,1500.0,High Value
CUST962,44,60.0,Low Value
